"Name","City","Country","Domes","Status","EPN Inclusion","Station Log","OperationalCentre","TectonicPlate","Latitude","Longitude","Elevation","X","Y","Z","IGS","ITRF2014","IGS14"
"SCIL00GBR","Hugh Town","United Kingdom","19201M001","A","2017-02-12","scil00gbr_20200306.log","OS","EURASIAN","49.9145","-6.2958","83.8","4090376.00","-451279.00","4856738.00","","ITRF2014",""
"SCOA00FRA","Ciboure","France","10088M002","A","2010-03-28","scoa00fra_20190313.log","IGN_RGP","EURASIAN","43.3952","-1.6817","60.2","4639941.90","-136225.50","4359552.00","","ITRF2014",""
"SCOR00GRL","Scoresbysund/Ittoqqoormiit","Greenland","43006M002","A","2011-07-17","scor00grl_20200205.log","DNSC","NORTH AMERICAN","70.4853","-21.9503","128.5","1982096.10","-798821.00","5989464.50","IGS","ITRF2014","IGS14"
"SFER00ESP","San Fernando","Spain","13402M004","A","1996-06-09","sfer00esp_20190924.log","ROA","EURASIAN","36.4643","-6.2056","84.1","5105519.05","-555146.01","3769803.25","IGS","ITRF2014","IGS14"
"SHOE00GBR","Shoeburyness","United Kingdom","19197M001","A","2017-03-19","shoe00gbr_20200306.log","OS","EURASIAN","51.5548","0.8270","49.0","3973493.00","57358.00","4972193.00","","ITRF2014",""
"SJDV00FRA","Saint Jean des Vignes","France","10090M001","A","1998-07-19","sjdv00fra_20200402.log","OSUG","EURASIAN","45.8791","4.6766","432.4","4433469.65","362673.10","4556211.88","","ITRF2014",""
"SKE000SWE","Skellefteaa","Sweden","10426M001","A","2003-10-05","ske000swe_20200217.log","LMV","EURASIAN","64.8792","21.0483","81.2","2534031.20","975174.40","5752078.34","","ITRF2014",""
"SKE800SWE","Skellefteaa","Sweden","10426M002","A","2014-09-28","ske800swe_20191105.log","LMV","EURASIAN","64.8792","21.0481","81.2","2534032.88","975167.94","5752078.72","","",""
"SMID00DNK","Smidstrup, Vejle","Denmark","10114M001","A","2003-06-29","smid00dnk_20200324.log","SDFE","EURASIAN","55.6406","9.5593","122.8","3557911.52","599176.47","5242066.26","","",""
"SMLA00UKR","Smila","Ukraine","15503M001","A","2009-11-01","smla00ukr_20171011.log","MAO","EURASIAN","49.2016","31.8663","183.1","3546267.69","2204463.96","4805379.19","","",""
