#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName,ReceiverSatelliteSystem,ReceiverDateInstalled,AntennaName,AntennaRadome,AntennaSerialNumber,AntennaARP,AntennaMarkerUp,AntennaMarkerNorth,AntennaMarkerEast,AntennaDateInstalled,ClockType
GUUG00USA,-5070465.249,3576460.234,1472093.785,13.433,144.803,135.139,TRIMBLE ALLOY,GPS+GLO+GAL,2021-11-29T21:43Z,LEIAR20,LEIM,20251006,BAM,0,0,0,2021-09-23T00:11Z,INTERNAL
HAL100USA,-5466017.9454,-2404394.6546,2242210.2481,20.707,-156.256,3073.251,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS,2021-02-02T23:36Z,JAVRINGANT_DM,SCIS,982,BPA,0.0083,0,0,2015-02-11T00:00Z,INTERNAL
HAMD00IRN,3469898.0183,3926741.412,3626961.1469,34.869,48.534,1751.356,TRIMBLE NETR9,GPS+GLO,2011-05-18T00:00Z,TRM57971.00,SCIT,1441036425,BAM,0,0,0,2011-05-18,INTERNAL
HARB00ZAF,5084657.615,2670325.2503,-2768481.0274,-25.887,27.707,1558.489,SEPT POLARX5TR,GPS+GLO+GAL+BDS+SBAS+IRNSS,2021-02-08T16:00Z,TRM59800.00,NONE,5210354435,BPA,3.052,0,0,2021-01-22T12:15Z,EXTERNAL CESIUM
HERS00GBR,4033471.33,23667.86,4924300.35,50.867,0.336,76.927,SEPT POLARX5TR,GPS+GLO+GAL+BDS+SBAS,2021-02-08T13:45Z,LEIAR25.R3,NONE,10250002,BPA,0.0096,0,0,2010-08-19T12:00Z,EXTERNAL H-MASER
HERT00GBR,4033461.038,23537.662,4924318.165,50.867,0.334,83.77,LEICA GRX1200GGPRO,GPS+GLO,2015-09-18T15:00Z,LEIAT504GG,NONE,200429,BPA,0,0,0,2015-03-03T12:00Z,INTERNAL
HKSL00HKG,-2393382.414,5393861.187,2412592.401,22.372,113.928,95.712,LEICA GR50,GPS+GLO+GAL+BDS,2021-11-29T00:02Z,LEIAR25.R4,LEIT,725194,BPA,0.0083,0,0,2011-09-07T00:00Z,INTERNAL
HKWS00HKG,-2430579.004,5374285.676,2418956.331,22.434,114.335,64.197,LEICA GR50,GPS+GLO+GAL+BDS,2021-11-29T02:33Z,LEIAR25.R4,LEIT,725198,BPA,0.0083,0,0,2011-09-07T00:00Z,INTERNAL
HLFX00CAN,2018905.8,-4069070.52,4462415.41,44.684,-63.611,3.546,TPS NET-G3A,GPS+GLO,2017 p6,5,2019-03-07T21:26Z,TPSCR.G3,NONE,383-0474,BPA,0.1,0,0
HNLC00USA,-5506799,-2240050,2302720,21.303,-157.865,22.61,TRIMBLE NETR9,GPS,2020-12-11T00:00Z,ASH700936D_M,SNOW,CR14263,BPA,0,,,1997-06-19T02:23Z,INTERNAL
HNPT00USA,1196626.343,-4846358.5,3956723.115,38.589,-76.13,-27.545,LEICA GR50,GPS+GLO+GAL,2021-03-22T16:43Z,LEIAX1202GG,NONE,6300058,BAM,0,0,0,2007-06-14,INTERNAL
HNUS00ZAF,4973168.8045,1734085.3905,-3585434.1455,-34.425,19.223,63.459,TRIMBLE ALLOY,GPS+GLO,2020-10-13T09:40Z,ASH701941.B,SCIS,CRL1999100126,BPA,0,0,0,1999-07-08T00:00Z,INTERNAL
HOB200AUS,-3950072.2497,2522415.3618,-4311637.4022,-42.805,147.439,41.459,SEPT POLARX5,GPS+GLO+GAL+BDS+IRNSS+QZSS,2021-07-05T16:00Z,LEIAR25.R4,NONE,726829,BPA,0.025,0,0,2021-12-17T00:00Z,EXTERNAL H-MASER
HOFN00ISL,2679689.848,-727951.343,5722788.898,64.267,-15.198,82.741,LEICA GR50,GPS+GLO+GAL+BDS+IRNSS+SBAS,2021-05-19T10:30Z,LEIAR25.R4,LEIT,725283,BPA,0.0319,0,0,2013-05-05T12:00Z,INTERNAL
