site,mjd,lon,lat,ellh,zhd,zwd,ztd
MURA,58849.0,43.763118974166666,38.990099946944454,1736.3481,1.8884526189887054,0.03636457717283208,1.9248171961615375
MUR1,58849.0,43.762565616111104,38.9919318175,1734.0357,1.8890015962647244,0.036406349499443234,1.9254079457641677
MUUS,58849.0,41.50216087083333,38.79323737805555,1287.6836,1.997158260950946,0.04648862798617384,2.0436468889371198
MUS1,58849.0,41.499188175,38.74353990777778,1379.6336,1.9742017602905237,0.04418256486685827,2.018384325157382
NAHA,58849.0,31.33208772944445,40.173303517222216,705.515,2.1423057954467564,0.06171819130096387,2.2040239867477203
NEVS,58849.0,34.70294570166667,38.61656502194445,1292.4533,1.9946942793210836,0.046500860233695304,2.041195139554779
NEV1,58849.0,34.710771300833336,38.63146202638889,1234.5227,2.009035901641053,0.04791665637777208,2.056952558018825
NIGD,58849.0,34.67943657888889,37.95876982944445,1252.3261,2.0044464053449866,0.04803702326255507,2.0524834286075415
NSYB,58849.0,41.21726320194445,37.067020677222224,506.7374,2.193380803554235,0.06552119979370356,2.258902003347939
NSY1,58849.0,41.216107820555564,37.07872594583332,493.0643,2.19704822964211,0.06597557701550506,2.263023806657615
ONIY,58849.0,36.253857278333335,37.10219246777777,127.1919,2.298414572044944,0.08282238358705016,2.3812369556319943
OZAL,58849.0,43.98867900555555,38.65731246055555,2037.2506,1.8183544882723341,0.03118654042847563,1.8495410287008098
POSF,58849.0,42.72755347972223,41.509056945277784,1566.9899,1.9251203809103639,0.03621878756511933,1.9613391684754833
POZA,58849.0,34.87166073833333,37.42211241083333,826.4008,2.1119967215269853,0.06063839664942945,2.1726351181764145
RDIY,58849.0,37.335666870833336,40.38523471444445,539.8161,2.1869240968341748,0.06042030329237355,2.2473444001265483
RHIY,58849.0,38.770799087222215,39.90611182472223,1626.8571,1.913418194961781,0.03732615299125457,1.9507443479530355
RZE1,58849.0,40.493092049444435,41.03689591555555,70.699,2.3157293083045642,0.07201874626419597,2.3877480545687604
SALH,58849.0,28.12354599888889,38.48308977222222,156.1684,2.2884351133506193,0.08551533966987697,2.3739504530204965
SAMN,58849.0,36.25564263333333,41.34400171666666,33.6775,2.321566181998797,0.07453640451659478,2.3961025865153918
SAM1,58849.0,36.33376249222223,41.30849344638889,53.3696,2.3161499813518405,0.0739303464040441,2.3900803277558844
SARV,58849.0,32.617255334444444,36.696651574166665,1569.9566,1.9264081420404764,0.03951567886851536,1.9659238209089918
SARY,58849.0,27.916434325,41.4429682575,198.8697,2.2770462649108545,0.07799533712750739,2.3550416020383618
SEMD,58849.0,44.57388782694446,37.30514390305555,1422.9374,1.9636556349984002,0.045560224181014186,2.0092158591794145
SEM1,58849.0,44.57282309166667,37.30591342944445,1413.7849,1.9659029168751463,0.04580522932452075,2.011708146199667
SIHI,58849.0,31.53529230055556,39.4452831775,1118.1271,2.037128738379233,0.05172922015552536,2.088857958534758
SIH1,58849.0,31.536250050833328,39.44652019916666,1127.2835,2.0348327087391844,0.051498604173167824,2.0863313129123524
SILF,58849.0,33.936401391666664,36.381889953611115,52.7544,2.3153065313505516,0.08959490740619236,2.404901438756744
SINP,58849.0,35.153944780277776,42.03023426694445,54.5762,2.3142120240728548,0.07530571825114152,2.389517742323996
SIRN,58849.0,42.45684325416667,37.525026291944435,1459.3128,1.9533390942797626,0.04173138921352092,1.9950704834932835
SIR1,58849.0,42.45550330611111,37.523696532222225,1441.6907,1.9575939349541547,0.042126262766540905,1.9997201977206955
SIRT,58849.0,41.93556965611111,37.93190677583333,916.6116,2.089563771443175,0.055677108205686686,2.145240879648862
SIVE,58849.0,39.329272303888885,37.752394393055546,830.8357,2.110568122932041,0.05602495826868804,2.1665930812007295
SIV1,58849.0,39.32167186611112,37.75287257,826.6642,2.1116547316655248,0.05614628863321162,2.1678010202987363
SIVS,58849.0,37.00249450888889,39.743698781388886,1325.4903,1.9863244065711165,0.04415069226250185,2.030475098833618
SLEE,58849.0,29.60068185555556,41.168729120277774,127.8157,2.296031874322062,0.07921293779740049,2.3752448121194627
SLVR,58849.0,28.24846734027777,41.07608006444445,64.3988,2.3144482042681958,0.08350049505733434,2.39794869932553
SSEH,58849.0,38.07489458166667,40.16247306055556,1200.9527,2.016635275231588,0.04517659097420967,2.061811866205798
SSE1,58849.0,38.105015735,40.16910805333333,1001.8530000000001,2.067020722334833,0.04950116946499945,2.1165218917998327
SUNL,58849.0,34.36891012638889,40.15397829916667,807.302,2.116218386729569,0.057615459133558665,2.1738338458631277
SUN1,58849.0,34.37668658111111,40.163566175,804.7366,2.116873690747967,0.057662351254391904,2.1745360420023587
SURF,58849.0,38.818022698055564,37.191846237777774,680.7649,2.1487579672889905,0.060722120871367136,2.209480088160358
TEKR,58849.0,27.49649646027778,40.958334589444455,48.7875,2.3192402039401956,0.08503110906127101,2.4042713130014666
TNCE,58849.0,39.545632595,39.009672883888896,1019.1414,2.065144388196422,0.051931968936085135,2.1170763571325075
TNC1,58849.0,39.53489467222221,39.075341731111116,967.7081,2.0786327151114112,0.0533975139471051,2.1320302290585165
TOKA,58849.0,36.557139051111115,40.33104396527778,649.7065,2.1572789133443613,0.058857319044286344,2.2161362323886475
TOK1,58849.0,36.557467001388886,40.33098402694445,662.7152,2.1538236155082315,0.05850703915781668,2.212330654666048
TRBN,58849.0,39.71148925444445,41.005409409444454,85.3473,2.310306097758246,0.07176351272241262,2.382069610480659
TUFA,58849.0,36.220871685555565,38.26060212222223,1459.3785,1.9545724494481922,0.04263867073950909,1.9972111201877012
TUF1,58849.0,36.20844708944445,38.26054415694445,1504.7638,1.9435878092140402,0.04160326885944364,1.9851910780734838
TVAN,58849.0,42.29045979583333,38.52949228222222,1717.4999,1.892792166499106,0.03739541010487491,1.930187576603981
TVA1,58849.0,42.29078311805554,38.52964468472222,1718.0736,1.892656362738773,0.03738393326410905,1.930040296002882
TVA2,58849.0,42.27714920305557,38.51478674972222,1719.1773,1.8923814446737601,0.03735764180301111,1.9297390864767712
UDER,58849.0,41.54755094305556,40.53128318416667,1131.7813,2.036538831145757,0.04714383269479492,2.083682663840552
UDE1,58849.0,41.54778610611111,40.52995623944445,1141.6799,2.0340058842491042,0.046914904448566025,2.08092078869767
USAK,58849.0,29.405220899999996,38.67921327972222,965.9917,2.074621114919576,0.05676666858979797,2.131387783509374
USK1,58849.0,29.39878004972223,38.67902649416665,981.3058,2.0707158914906447,0.056313489513552965,2.127029381004198
VAAN,58849.0,43.28291502861111,38.56535095861111,1695.7476,1.8986286668076453,0.038388204893083706,1.937016871700729
VAN1,58849.0,43.345811878611116,38.46933702611111,1693.3038,1.8992845385259725,0.03860187161104885,1.9378864101370212
VEZI,58849.0,35.46665648388889,41.13800042333333,372.9831,2.2291253997081313,0.06592941939510011,2.2950548191032314
VIRA,58849.0,39.75115866416667,37.233666042777784,596.4266,2.170503914778298,0.06259787868191002,2.233101793460208
VIR1,58849.0,39.751699275,37.23055905555556,602.5419999999999,2.1688821973191366,0.062408207563818534,2.231290404882955
VIR2,58849.0,39.74872791527777,37.22553034333333,599.559,2.169663710321739,0.0625021137496107,2.23216582407135
YENC,58849.0,27.241705869444445,39.935939088055555,333.8638,2.2398388258133934,0.07639891744763785,2.3162377432610315
YEN1,58849.0,27.258898433888888,39.92897965,334.0747,2.2397836951998533,0.07639154074426979,2.3161752359441232
YLOV,58849.0,29.262347246388885,40.64907389222222,64.4596,2.3144864591581986,0.08231498715233487,2.3968014463105334
YOZT,58849.0,34.81593101694445,39.82401790027778,1343.1443,1.9810686074729922,0.04434081996234812,2.0254094274353402
YOZ1,58849.0,34.84472677222223,39.83144403888889,1455.681,1.9536927396961008,0.04193259649615541,1.9956253361922562
YUNK,58849.0,31.726276115000005,38.820465464722226,1192.0592,2.0188993417873595,0.050463648659441536,2.069362990446801
YUN1,58849.0,31.731732529444447,38.816163016944444,1150.4153,2.0292895561241364,0.051543964409986515,2.080833520534123
ZONG,58849.0,31.778170604166665,41.44952560277777,168.1403,2.2844090632067724,0.0750942575474382,2.3595033207542104
ADAN,58849.041666666664,35.343713346111116,37.003499327777774,60.5178,2.315575898851699,0.0861505104031838,2.4017264092548825
ADN1,58849.041666666664,35.34374212638889,37.00417502916667,60.8096,2.31549909593577,0.08613976569833762,2.401638861634108
ADIY,58849.041666666664,38.22967929944444,37.74585825888889,711.0972,2.1425953525382093,0.06066047491894161,2.2032558274571508
ADY1,58849.041666666664,38.26123880194445,37.760579155277775,741.1756,2.134698678457687,0.05969496318001945,2.194393641637707
AFYN,58849.041666666664,30.56100326527778,38.738361811944436,1072.276,2.0485878687375956,0.05429745235071831,2.102885321088314
AGRD,58849.041666666664,43.03287470888889,39.71756164083334,1672.5848,1.9033866679871045,0.03681401452682367,1.9402006825139282
AKDG,58849.041666666664,35.871643538055565,39.660159732222226,1404.8163,1.9664758523307575,0.04275718579147991,2.0092330381222374
AKD1,58849.041666666664,35.871069648055546,39.660470830555546,1408.6832,1.9655324797764762,0.04267456098521837,2.0082070407616945
AKHR,58849.041666666664,31.429742201388887,38.36927171444445,1046.3983,2.055417115936443,0.05513077197464994,2.110547887911093
AKLE,58849.041666666664,38.948206747222216,36.71003653277778,385.2808,2.2261563006769993,0.07019516921616484,2.296351469893164
AKSI,58849.041666666664,31.78749680444445,37.04771597,1193.4362,2.017787275638176,0.050032077959717106,2.0678193535978933
AKSR,58849.041666666664,33.99814918166667,38.370389852222225,1005.7896,2.066374356296413,0.0543555387789774,2.1207298950753906
ALNY,58849.041666666664,31.98854416972223,36.55554557305555,62.8486,2.313107423922913,0.09301715141397247,2.4061245753368854
AMAS,58849.041666666664,35.849294715833345,40.66569066416667,443.6131,2.211530826845752,0.06466252973255628,2.2761933565783083
AMA1,58849.041666666664,35.809534228888886,40.65693418166666,458.5378,2.207527422086653,0.06432643183072212,2.271853853917375
ANMU,58849.041666666664,32.865106364722216,36.069014603055564,39.6446,2.3188998887080827,0.09420465245503416,2.4131045411631167
ANK2,58849.041666666664,32.77534744,39.842806145833336,1296.0554,1.9925045648019606,0.046532838900678844,2.0390374037026393
ANRK,58849.041666666664,32.84620184833334,39.85596459166667,1231.2783,2.0085347716356328,0.04803138891923651,2.056566160554869
ANTE,58849.041666666664,37.37360936611111,37.06496032805556,886.8833,2.0958107214629953,0.05632466909157927,2.1521353905545744
ANTL,58849.041666666664,30.66642457166667,36.88844856083333,88.7527,2.3049909670374897,0.09102210166726359,2.3960130687047534
ARDH,58849.041666666664,42.69906170222222,41.11126062194445,1834.0687,1.8627616731650432,0.03245678392981932,1.8952184570948625
ARPK,58849.041666666664,38.487320009166666,39.040593081388884,1243.5036,2.0078820368755923,0.04614745253554354,2.054029489411136
ARTV,58849.041666666664,41.818316306944446,41.175097286944435,662.3921,2.155516929390839,0.0559364137107486,2.2114533431015877
AYD1,58849.041666666664,27.8378842725,37.840726428888885,101.8305,2.301537059998738,0.0889678676603618,2.3905049276590997
AYVL,58849.041666666664,26.68617784777777,39.31144246222222,54.2555,2.315888371943002,0.08980846979686258,2.4056968417398643
BALK,58849.041666666664,27.893631236944444,39.63936512250001,202.4916,2.276159275985781,0.08135527119561438,2.3575145471813954
BAL1,58849.041666666664,27.89266047555555,39.62949798472222,196.9411,2.277694192536454,0.08159607443064866,2.3592902669671028
BAND,58849.041666666664,27.9967112775,40.33122510555556,97.2344,2.305491659592228,0.08375644307555805,2.389248102667786
BAN1,58849.041666666664,27.974945728611107,40.34865146444445,98.109,2.305241801695424,0.08370747865457906,2.388949280350003
BASK,58849.041666666664,44.01730383277778,38.043443638055564,2312.2405,1.7567061162423485,0.027043247754631378,1.78374936399698
BAYB,58849.041666666664,40.19143542361111,40.250150286111115,1709.0492,1.8935125110429194,0.0354322630942873,1.9289447741372068
BEYS,58849.041666666664,31.74655044472223,37.67730099583333,1187.4602,2.0196565915631397,0.051268412141638055,2.0709250037047777
BILE,58849.041666666664,29.977391880555558,40.14146042222223,584.326,2.1737876593406753,0.06582872635424784,2.239616385694923
BING,58849.041666666664,40.50078317138889,38.885452529166656,1183.5291,2.023097482845844,0.04811805477415076,2.0712155376199948
BIN1,58849.041666666664,40.5027404275,38.897216830555564,1170.211,2.026497607104723,0.04847397243384466,2.0749715795385675
BOGZ,58849.041666666664,35.255099929444434,39.19360868333333,1106.7392,2.0407839689344702,0.05045631066229312,2.0912402795967635
BOG1,58849.041666666664,35.247097085833325,39.19333479277777,1118.227,2.0378794650060645,0.050163300840052286,2.088042765846117
BOLU,58849.041666666664,31.602032685555557,40.73353960666667,789.2424,2.119836143374525,0.058484477836587334,2.178320621211112
BOL1,58849.041666666664,31.606489812222225,40.746410184444436,802.5026,2.11638166016476,0.05811101816511846,2.1744926783298784
BOYT,58849.041666666664,34.79666032861111,41.461039670833344,404.6842,2.2198746261251574,0.0650567055013127,2.28493133162647
BTMN,58849.041666666664,41.15448343027778,37.863601290277785,650.7873,2.1578195250458148,0.062015487859309305,2.219835012905124
BURS,58849.041666666664,29.015229196944443,40.214251377777785,183.2849,2.28206261892227,0.07970771722341552,2.3617703361456854
CANA,58849.041666666664,26.4143352025,40.111205126944455,141.172,2.292529550745225,0.08438672814691796,2.376916278892143
CANK,58849.041666666664,33.61038037222223,40.608575739444454,794.9424,2.1190587703670456,0.058536977373778984,2.1775957477408245
CATK,58849.041666666664,43.060692934722226,38.007344513333344,1527.9151,1.9384608531000074,0.04200643489612959,1.980467287996137
CAVD,58849.041666666664,29.69016344916667,37.15636927083333,1130.4841,2.031648908661898,0.05237518422932577,2.0840240928912235
CAV1,58849.041666666664,29.68854743555556,37.15925801888889,1109.9943,2.036732316823519,0.05299686640660965,2.089729183230129
CAV2,58849.041666666664,29.689246056944448,37.157089990277775,1128.4628,2.032149397684639,0.052436549578635624,2.0845859472632746
CESM,58849.041666666664,26.372570265,38.30381589888889,52.4472,2.3147805316866883,0.09161276323986957,2.406393294926558
CZRE,58849.041666666664,42.187998243888885,37.328148091111125,417.4252,2.219755148329692,0.07134612408095331,2.291101272410645
CIHA,58849.041666666664,32.92240568222222,38.65038676611111,1012.7128,2.064285418167177,0.05446780662516634,2.1187532247923433
CMLD,58849.041666666664,32.474515216111115,40.49096622416667,1274.1594,1.9971255522859626,0.046679552797261624,2.043805105083224
CORU,58849.041666666664,34.98220358138889,40.57041087777778,922.0965,2.0855603659443966,0.053164993381026995,2.1387253593254236
CYLN,58849.041666666664,40.053432699444436,36.85094627194445,394.788,2.2233914740090928,0.0690797936200362,2.292471267629129
DATC,58849.041666666664,27.69183474361111,36.70857246111112,59.17,2.3097730256329085,0.09197402254933044,2.401747048182239
DEIR,58849.041666666664,28.648404974722226,39.034850775,890.9131,2.0931917993024873,0.058447026449417294,2.151638825751905
DEI1,58849.041666666664,28.66268656944445,39.050898043888886,974.4581,2.0719391179906097,0.056040555073985136,2.127979673064595
DENI,58849.041666666664,29.092134164722218,37.76210177638889,471.0808,2.2027069675205735,0.07526552040890089,2.2779724879294743
DNZ1,58849.041666666664,29.04374140111111,37.77879908722222,537.9361,2.184730284756923,0.0724280957874659,2.257158380544389
