Name,City,Country,Domes,OperationalCentre,TectonicPlate
LDB200DEU,Lindenberg,DEU,14114M002,BKG,EURASIAN
LEIJ00DEU,Leipzig,DEU,14267M001,BKG,EURASIAN
LEK600SWE,Leksand,SWE,10433M002,LMV,EURASIAN
LEON00ESP,Leon,ESP,13475M001,IGE,EURASIAN
LERI00GBR,Lerwick,GBR,19159M003,OS,EURASIAN
LICC00GBR,London,GBR,15201M001,CHC,EURASIAN
LIDA00BLR,Lida,BLR,14806M001,BYGEO,EURASIAN
LIL200FRA,Lille,FRA,10051M003,IGN_RGP,EURASIAN
LINZ00AUT,Linz,AUT,11033S001,LINZAG,EURASIAN
LLIV00ESP,Llivia,ESP,13436M001,ICGC,EURASIAN
LODZ00POL,Lodz,POL,12226M001,ASGEUPOS,EURASIAN
LOV600SWE,Lovo,SWE,10434M002,LMV,EURASIAN
LPAL00ESP,Roque de los Muchachos,ESP,81701M001,IGE,AFRICAN
LROC00FRA,La Rochelle,FRA,10023M001,LIENSS,EURASIAN
M0SE00ITA,Roma,ITA,12772M001,AGG,EURASIAN
MALA00ESP,Malaga,ESP,13443M001,IGE,EURASIAN
MALL00ESP,Palma de Mallorca,ESP,13444M001,IGE,EURASIAN
MAN200FRA,Le Mans,FRA,10091M002,CNAM,EURASIAN
MAR600SWE,Maartsbo,SWE,10405M002,LMV,EURASIAN
MAR700SWE,Gavle,SWE,10405M003,LMV,EURASIAN
MARP00UKR,Mariupol,UKR,15556M001,MAO,EURASIAN
MARS00FRA,Marseille,FRA,10073M008,IGN_RGP,EURASIAN
MAS100ESP,Maspalomas,ESP,31303M002,ESOC,AFRICAN
MAT100ITA,MATERA,ITA,12734M009,ASI,EURASIAN
MATE00ITA,Matera,ITA,12734M008,ASI,EURASIAN
MATG00ITA,Matera,ITA,12734M010,ASI,EURASIAN
MDVJ00RUS,Mendeleevo,RUS,12309M005,IMVP,EURASIAN
MEDI00ITA,Medicina,ITA,12711M003,ASI,EURASIAN
MELI00ESP,Melilla,ESP,19379M001,IGE,AFRICAN
MERS00TUR,Erdemli,TUR,20814M001,GCM,EURASIAN
MET300FIN,Kirkkonummi,FIN,10503M010,FGI,EURASIAN
METG00FIN,METSAHOVI,FIN,10503M002,CNES,EURASIAN
METS00FIN,Kirkkonummi,FIN,10503S011,FGI,EURASIAN
MIK300FIN,Mikkeli,FIN,10526M001,FGI,EURASIAN
MIKL00UKR,Mykolaiv,UKR,12335M001,MAO,EURASIAN
MKRS00UKR,Mukachevo,UKR,15599M001,MAO,EURASIAN
MLHD00IRL,Malin Head,IRL,13640M001,OSI,EURASIAN
MLVL00FRA,Marne-la-Vallee,FRA,10092M001,IGN_RGP,EURASIAN
MNKW00BLR,Minsk,BLR,14802M002,BYGEO,EURASIAN
MNSK00BLR,Minsk,BLR,14802M001,BYGEO,EURASIAN
MOGI00BLR,Mogilev,BLR,14807M001,BYGEO,EURASIAN
MOP200SVK,Modra-Piesok,SVK,11507M002,SUT,EURASIAN
MOPI00SVK,Modra-Piesok,SVK,11507M001,SUT,EURASIAN
